dish_name,calories_kcal,nutrients,ingredients,user_inputs
Braised Pork Belly (Hong Shao Rou),480,Protein 30g / Fat 22g / Carbs 50g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","anytime, comfort, quick_bite"
Mapo Tofu,280,Protein 21g / Fat 10g / Carbs 38g / Fiber 3g,"garlic, mushroom, seasonal vegetables, soy sauce, tofu","adventurous, anytime, energized"
Poached Spicy Beef (Shuizhu),420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"beef, chili, garlic, ginger, onion, soy sauce","adventurous, anytime, celebration, energized, treat-yourself"
Kung Pao Chicken,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","adventurous, anytime, energized"
Yu Xiang Shredded Pork,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","anytime, comfort, quick_bite"
Twice-cooked Pork,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","anytime, comfort, quick_bite"
Scallion Oil Noodles,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day"
Xiao Long Bao (Soup Dumplings),240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, ginger, salt, scallion","afternoon_tea, anytime, breakfast, brunch, budget, cold_day, comfort, cozy, dinner, homesick, lunch, quick_bite, rainy_day, sad, solo, street_food"
Shengjian Bao (Pan-fried Pork Buns),450,Protein 15g / Fat 24g / Carbs 45g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","afternoon_tea, anytime, breakfast, brunch, budget, quick_bite, solo, street_food"
Crab Roe Xiao Long Bao,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","afternoon_tea, anytime, breakfast, brunch, budget, quick_bite, solo, street_food"
Jianbing (Chinese Crepe),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, budget, comfort, quick_bite, solo, street_food"
Scallion Pancake,500,Protein 13g / Fat 24g / Carbs 70g / Fiber 3g,"butter, cream, egg, flour, milk, sugar","anytime, breakfast, brunch, celebratory, happy, lazy, sad, treat-yourself"
Hot Dry Noodles (Re Gan Mian),360,Protein 19g / Fat 8g / Carbs 60g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day"
Lanzhou Beef Noodles,540,Protein 43g / Fat 20g / Carbs 70g / Fiber 3g,"beef, chili, egg, garlic, ginger, onion, sesame oil, soy sauce, wheat noodles","anytime, celebration, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day, treat-yourself"
Knife-cut Noodles,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day"
Zhajiang Noodles,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day"
Mala Tang (Spicy Soup Pot),240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, ginger, salt, scallion","adventurous, anytime, cold_day, comfort, cozy, dinner, energized, homesick, lunch, rainy_day, sad"
Chuan Chuan (Skewer Hotpot),420,Protein 26g / Fat 18g / Carbs 40g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, celebration, cold_day, comfort, cozy, group_meal, homesick, late_night, midnight, rainy_day, sad"
Grilled Fish in Spicy Sauce,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","adventurous, anytime, energized"
Roast Duck (Peking Duck),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Guo Bao Rou (Sweet Crispy Pork),650,Protein 13g / Fat 36g / Carbs 85g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","afternoon_tea, anytime, breakfast, brunch, budget, celebratory, happy, quick_bite, sad, solo, street_food, treat-yourself"
Sweet and Sour Pork,500,Protein 13g / Fat 24g / Carbs 70g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","anytime, celebratory, happy, sad, treat-yourself"
Dongpo Pork,480,Protein 30g / Fat 22g / Carbs 50g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","anytime, comfort, quick_bite"
Braised Pork with Preserved Vegetables (Meicai Kourou),480,Protein 30g / Fat 22g / Carbs 50g / Fiber 3g,"garlic, ginger, oil, pork, scallion, soy sauce, sugar","anytime, comfort, quick_bite"
Steamed Fish with Soy Sauce,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, comfort, quick_bite"
Squirrel-shaped Mandarin Fish,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, comfort, quick_bite"
Beggar's Chicken,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","anytime, breakfast, brunch, comfort, quick_bite"
Fermented Rice Ball Soup (Jiu Niang),360,Protein 19g / Fat 8g / Carbs 60g / Fiber 3g,"broth, egg, ginger, oil, rice, salt, scallion, soy sauce, vegetables","anytime, cold_day, comfort, cozy, dinner, homesick, lunch, rainy_day, sad"
Sticky Rice in Lotus Leaf (Lo Mai Gai),420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, oil, rice, soy sauce, vegetables","anytime, comfort, dinner, lunch, quick_bite"
Steamed Spare Ribs (Cantonese),620,Protein 35g / Fat 35g / Carbs 60g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, celebration, treat-yourself"
Har Gow (Steamed Shrimp Dumplings),420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","afternoon_tea, anytime, breakfast, brunch, budget, quick_bite, solo, street_food"
Char Siu (BBQ Pork),500,Protein 15g / Fat 27g / Carbs 60g / Fiber 3g,"beef, chili, garlic, ginger, oil, onion, pork, scallion, soy sauce, sugar","anytime, celebration, treat-yourself"
Wonton Noodles,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","afternoon_tea, anytime, breakfast, brunch, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day, street_food"
Congee (Rice Porridge),360,Protein 19g / Fat 8g / Carbs 60g / Fiber 3g,"broth, egg, ginger, oil, rice, salt, scallion, soy sauce, vegetables","anytime, cold_day, comfort, cozy, dinner, homesick, lunch, rainy_day, sad"
Boat Congee,240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, ginger, oil, rice, salt, scallion, soy sauce, vegetables","anytime, cold_day, comfort, cozy, homesick, rainy_day, sad"
Fried Rice (Yangzhou Style),570,Protein 23g / Fat 24g / Carbs 85g / Fiber 3g,"egg, oil, rice, soy sauce, vegetables","anytime, comfort, dinner, lunch, quick_bite"
Egg Fried Rice,570,Protein 23g / Fat 24g / Carbs 85g / Fiber 3g,"egg, oil, rice, soy sauce, vegetables","anytime, breakfast, brunch, comfort, dinner, lunch, quick_bite"
Yangzhou Stir-fry,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Dry-fried Green Beans (Gan Bian Sijidou),450,Protein 15g / Fat 24g / Carbs 45g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Cold Sesame Noodles,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","afternoon_tea, anytime, cold_day, comfort, cozy, dinner, hot_day, lunch, quick_bite, rainy_day, snack"
Dan Dan Noodles,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day"
Sichuan Boiled Fish (Suan Cai Yu),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","adventurous, anytime, energized"
Mouthwatering Chicken (Kou Shui Ji),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","anytime, comfort, quick_bite"
Spicy Chicken (La Zi Ji),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","adventurous, anytime, energized"
Chopped Chili Fish Head (Duo Jiao Yu Tou),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","adventurous, afternoon_tea, anytime, breakfast, brunch, energized, quick_bite, street_food"
Hunan-style Stir-fried Beef,570,Protein 35g / Fat 32g / Carbs 45g / Fiber 3g,"beef, chili, garlic, ginger, onion, soy sauce","anytime, celebration, treat-yourself"
Steamed Whole Chicken with Ginger and Scallion,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","anytime, comfort, quick_bite"
Cumin Lamb,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Big Plate Chicken (Da Pan Ji),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","anytime, comfort, late_night, midnight, quick_bite"
Roujiamo (Chinese Burger),500,Protein 15g / Fat 27g / Carbs 60g / Fiber 3g,"beef, chili, garlic, ginger, onion, soy sauce","anytime, celebration, dinner, lunch, treat-yourself"
Beef Noodle Soup (Taiwanese Style),360,Protein 31g / Fat 16g / Carbs 20g / Fiber 3g,"beef, broth, chili, egg, garlic, ginger, onion, salt, scallion, sesame oil, soy sauce, wheat noodles","anytime, celebration, cold_day, comfort, cozy, dinner, homesick, lunch, quick_bite, rainy_day, sad, treat-yourself"
Braised Beef Noodles (Beef Brisket Noodles),720,Protein 58g / Fat 30g / Carbs 90g / Fiber 3g,"beef, chili, egg, garlic, ginger, onion, sesame oil, soy sauce, wheat noodles","anytime, celebration, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day, treat-yourself"
Claypot Rice with Chinese Sausage,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, oil, rice, soy sauce, vegetables","anytime, comfort, dinner, lunch, quick_bite"
Chicken Claypot (Ji Gong Bao),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","afternoon_tea, anytime, breakfast, brunch, budget, quick_bite, solo, street_food"
Peking-style Lamb Chops,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Grilled Lamb Skewers (Yangrou Chuan),420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Hotpot (Sichuan Beef Tallow Base),540,Protein 46g / Fat 26g / Carbs 40g / Fiber 3g,"beef, chili, garlic, ginger, onion, soy sauce","adventurous, anytime, celebration, cold_day, comfort, cozy, energized, group_meal, homesick, late_night, midnight, rainy_day, sad, treat-yourself"
Tomato Hotpot Base,420,Protein 26g / Fat 18g / Carbs 40g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, celebration, cold_day, comfort, cozy, group_meal, homesick, late_night, midnight, rainy_day, sad"
Coconut Chicken Hotpot,420,Protein 26g / Fat 18g / Carbs 40g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","anytime, celebration, cold_day, comfort, cozy, group_meal, homesick, late_night, midnight, rainy_day, sad"
Seafood Hotpot,420,Protein 26g / Fat 18g / Carbs 40g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, celebration, cold_day, comfort, cozy, date_night, group_meal, homesick, late_night, midnight, rainy_day, sad"
Mala Hotpot (Spicy),420,Protein 26g / Fat 18g / Carbs 40g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","adventurous, anytime, celebration, cold_day, comfort, cozy, energized, group_meal, homesick, late_night, midnight, rainy_day, sad"
Xiangchang (Spicy Sausage),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","adventurous, anytime, energized"
Salt and Pepper Squid,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","adventurous, anytime, energized"
Pan-fried Fish Fillet with Garlic,450,Protein 15g / Fat 24g / Carbs 45g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, comfort, quick_bite"
Steamed Clams with Black Bean Sauce,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, comfort, quick_bite"
Stir-fried Mixed Vegetables,450,Protein 15g / Fat 24g / Carbs 45g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Braised Eggplant with Garlic Sauce,480,Protein 30g / Fat 22g / Carbs 50g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, breakfast, brunch, comfort, quick_bite"
Tofu Pudding (Douhua),480,Protein 19g / Fat 22g / Carbs 78g / Fiber 3g,"butter, cream, egg, flour, garlic, milk, mushroom, seasonal vegetables, soy sauce, sugar, tofu","anytime, celebratory, happy, sad, treat-yourself"
Mango Pomelo Sago,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Bubble Milk Tea (Boba),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Egg Tart (Portuguese style),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, breakfast, brunch, comfort, quick_bite"
Red Bean Soup,240,Protein 11g / Fat 8g / Carbs 20g / Fiber 3g,"broth, egg, ginger, salt, scallion","anytime, cold_day, comfort, cozy, dinner, homesick, lunch, rainy_day, sad"
Matcha Latte,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Tiramisu,500,Protein 13g / Fat 24g / Carbs 70g / Fiber 3g,"butter, cream, egg, flour, milk, sugar","anytime, celebratory, happy, sad, treat-yourself"
Cheesecake Slice,500,Protein 13g / Fat 24g / Carbs 70g / Fiber 3g,"butter, cream, egg, flour, milk, sugar","anytime, celebratory, happy, sad, treat-yourself"
Gelato (Mixed Flavors),500,Protein 13g / Fat 24g / Carbs 70g / Fiber 3g,"butter, cream, egg, flour, milk, sugar","afternoon_tea, anytime, celebratory, happy, hot_day, sad, snack, treat-yourself"
Margherita Pizza,500,Protein 15g / Fat 27g / Carbs 60g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Pepperoni Pizza,500,Protein 15g / Fat 27g / Carbs 60g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","adventurous, anytime, energized"
Four Seasons Pizza,500,Protein 15g / Fat 27g / Carbs 60g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Spaghetti Carbonara,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, comfort, dinner, lunch, quick_bite"
Spaghetti Bolognese,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, comfort, dinner, lunch, quick_bite"
Pesto Pasta,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Seafood Pasta,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, celebration, comfort, date_night, quick_bite"
Sushi Platter,300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, celebration, comfort, date_night, quick_bite"
Salmon Sashimi,420,Protein 35g / Fat 20g / Carbs 30g / Fiber 3g,"butter, clam, fish, garlic, lemon, shrimp","anytime, celebration, comfort, date_night, quick_bite"
Tonkotsu Ramen,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, late_night, lunch, midnight, quick_bite, rainy_day"
Shoyu Ramen,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, late_night, lunch, midnight, quick_bite, rainy_day"
Miso Ramen,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"broth, egg, garlic, ginger, salt, scallion, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, homesick, late_night, lunch, midnight, quick_bite, rainy_day, sad"
Udon Noodles,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"egg, garlic, sesame oil, soy sauce, wheat noodles","anytime, cold_day, comfort, cozy, dinner, lunch, quick_bite, rainy_day"
Tempura Platter,450,Protein 15g / Fat 24g / Carbs 45g / Fiber 3g,"garlic, ginger, oil, pepper, salt, scallion","anytime, comfort, quick_bite"
Katsu Curry,450,Protein 15g / Fat 24g / Carbs 45g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","anytime, comfort, quick_bite"
Teriyaki Chicken Rice,420,Protein 23g / Fat 12g / Carbs 70g / Fiber 3g,"chicken, egg, garlic, ginger, oil, rice, scallion, soy sauce, vegetables","anytime, comfort, dinner, lunch, quick_bite"
Bento Box (Japanese),300,Protein 15g / Fat 12g / Carbs 30g / Fiber 3g,"chicken, garlic, ginger, scallion, soy sauce","anytime, comfort, quick_bite"
